Noun,Denominal,Non-denominal,Others
קברן,להתקברן ,לקבר להתקבר ,לקבור להקביר 
מראה,למראה ,לראה להתראה ,לראוה להראיה 
מראה,להתמראה ,לראה להתראה ,לראוה להראיה 
תכלול,לתכלל ,לכלל להתכלל ,לכלול להכליל 
מארז,למארז ,לארז להתארז ,לארוז להאריז 
מארז,להתמארז ,לארז להתארז ,לארוז להאריז 
מכלול,למכלל ,לכלל להתכלל ,לכלול להכליל 
מכלול,להתמכלל ,לכלל להתכלל ,לכלול להכליל 
תענית,לתענת ,לענת להתענת ,לענות להענית 
אתלט,לאתלט ,לתלט להתתלט ,לתלוט להתליט 
אתלט,להתאתלט ,לתלט להתתלט ,לתלוט להתליט 
מתחם,למתחם ,לתחם להתתחם ,לתחום להתחים 
מתחם,להתמתחם ,לתחם להתתחם ,לתחום להתחים 
אפגני,לאפגן ,לאפג להתאפג ,לאפוג להאפיג 
אפגני,להתאפגן ,לאפג להתאפג ,לאפוג להאפיג 
מאהבת,למאהב ,לאהב להתאהב ,לאהוב להאהיב 
מאהבת,להתמאהב ,לאהב להתאהב ,לאהוב להאהיב 
אפסות,לאפסת ,לפסת להתפסת ,לפסות להפסית 
אפסות,להתאפסת ,לפסת להתפסת ,לפסות להפסית 
אלבום,לאלבם ,ללבם להתלבם ,ללבום להלבים 
אלבום,להתאלבם ,ללבם להתלבם ,ללבום להלבים 
תקציר,לתקצר ,לקצר להתקצר ,לקצור להקציר 
תחבולה,לתחבל ,לחבל להתחבל ,לחבול להחביל 
מרחק,למרחק ,לרחק להתרחק ,לרחוק להרחיק 
מרחק,להתמרחק ,לרחק להתרחק ,לרחוק להרחיק 
מסתם,למסתם ,לסתם להתסתם ,לסתום להסתים 
מסתם,להתמסתם ,לסתם להתסתם ,לסתום להסתים 
עצלן,לעצלן ,לעצל להתעצל ,לעצול להעציל 
עצלן,להתעצלן ,לעצל להתעצל ,לעצול להעציל 
מרקע,למרקע ,לרקע להתרקע ,לרקוע להרקיע 
מרקע,להתמרקע ,לרקע להתרקע ,לרקוע להרקיע 
מצבה,למצבה ,לצבה להתצבה ,לצבוה להצביה 
מצבה,להתמצבה ,לצבה להתצבה ,לצבוה להצביה 
מטעם,למטעם ,לטעם להתטעם ,לטעום להטעים 
מטעם,להתמטעם ,לטעם להתטעם ,לטעום להטעים 
אגרוף,לאגרף ,לגרף להתגרף ,לגרוף להגריף 
אגרוף,להתאגרף ,לגרף להתגרף ,לגרוף להגריף 
פרשן,להתפרשן ,לפרש להתפרש ,לפרוש להפריש 
מנקה,למנקה ,לנקה להתנקה ,לנקוה להנקיה 
מנקה,להתמנקה ,לנקה להתנקה ,לנקוה להנקיה 
מאהל,למאהל ,לאהל להתאהל ,לאהול להאהיל 
מאהל,להתמאהל ,לאהל להתאהל ,לאהול להאהיל 
תכשיר,לתכשר ,לכשר להתכשר ,לכשור להכשיר 
מבצע,למבצע ,לבצע להתבצע ,לבצוע להבציע 
מבצע,להתמבצע ,לבצע להתבצע ,לבצוע להבציע 
תזמורת,לתזמר ,לזמר להתזמר ,לזמור להזמיר 
תסקיר,לתסקר ,לסקר להתסקר ,לסקור להסקיר 
משלט,למשלט ,לשלט להתשלט ,לשלוט להשליט 
משלט,להתמשלט ,לשלט להתשלט ,לשלוט להשליט 
אתמול,לאתמל ,לתמל להתתמל ,לתמול להתמיל 
אתמול,להתאתמל ,לתמל להתתמל ,לתמול להתמיל 
ברקן,לברקן ,לברק להתברק ,לברוק להבריק 
ברקן,להתברקן ,לברק להתברק ,לברוק להבריק 
מכרז,למכרז ,לכרז להתכרז ,לכרוז להכריז 
מכרז,להתמכרז ,לכרז להתכרז ,לכרוז להכריז 
מכשול,למכשל ,לכשל להתכשל ,לכשול להכשיל 
מכשול,להתמכשל ,לכשל להתכשל ,לכשול להכשיל 
עלבון,לעלבן ,לעלב להתעלב ,לעלוב להעליב 
עלבון,להתעלבן ,לעלב להתעלב ,לעלוב להעליב 
מסקר,למסקר ,לסקר להתסקר ,לסקור להסקיר 
מסקר,להתמסקר ,לסקר להתסקר ,לסקור להסקיר 
מדחום,למדחם ,לדחם להתדחם ,לדחום להדחים 
מדחום,להתמדחם ,לדחם להתדחם ,לדחום להדחים 
מאפה,למאפה ,לאפה להתאפה ,לאפוה להאפיה 
מאפה,להתמאפה ,לאפה להתאפה ,לאפוה להאפיה 
מטען,למטען ,למטע להתמטע ,למטוע להמטיע 
מטען,להתמטען ,למטע להתמטע ,למטוע להמטיע 
מטען,למטען ,לטען להתטען ,לטעון להטעין 
מטען,להתמטען ,לטען להתטען ,לטעון להטעין 
פתחון,לפתחן ,לפתח להתפתח ,לפתוח להפתיח 
פתחון,להתפתחן ,לפתח להתפתח ,לפתוח להפתיח 
מפגר,למפגר ,לפגר להתפגר ,לפגור להפגיר 
מפגר,להתמפגר ,לפגר להתפגר ,לפגור להפגיר 
מרמה,למרמה ,לרמה להתרמה ,לרמוה להרמיה 
מרמה,להתמרמה ,לרמה להתרמה ,לרמוה להרמיה 
אזכרה,להתאזכר ,לזכר להתזכר ,לזכור להזכיר 
פזרן,לפזרן ,לפזר להתפזר ,לפזור להפזיר 
פזרן,להתפזרן ,לפזר להתפזר ,לפזור להפזיר 
מאחז,למאחז ,לאחז להתאחז ,לאחוז להאחיז 
מאחז,להתמאחז ,לאחז להתאחז ,לאחוז להאחיז 
מכשף,למכשף ,לכשף להתכשף ,לכשוף להכשיף 
מכשף,להתמכשף ,לכשף להתכשף ,לכשוף להכשיף 
גבנון,לגבנן ,לגבנ להתגבנ ,לגבונ להגבינ 
גבנון,להתגבנן ,לגבנ להתגבנ ,לגבונ להגבינ 
כבשן,לכבשן ,לכבש להתכבש ,לכבוש להכביש 
כבשן,להתכבשן ,לכבש להתכבש ,לכבוש להכביש 
דגלן,לדגלן ,לדגל להתדגל ,לדגול להדגיל 
דגלן,להתדגלן ,לדגל להתדגל ,לדגול להדגיל 
אספקה,לאספק ,לספק להתספק ,לספוק להספיק 
אספקה,להתאספק ,לספק להתספק ,לספוק להספיק 
מרקר,למרקר ,לרקר להתרקר ,לרקור להרקיר 
מרקר,להתמרקר ,לרקר להתרקר ,לרקור להרקיר 
מדען,למדען ,למדע להתמדע ,למדוע להמדיע 
מדען,להתמדען ,למדע להתמדע ,למדוע להמדיע 
מדען,למדען ,לדען להתדען ,לדעון להדעין 
מדען,להתמדען ,לדען להתדען ,לדעון להדעין 
ספרן,לספרן ,לספר להתספר ,לספור להספיר 
ספרן,להתספרן ,לספר להתספר ,לספור להספיר 
תחבושת,לתחבש ,לחבש להתחבש ,לחבוש להחביש 
ממתק,לממתק ,למתק להתמתק ,למתוק להמתיק 
ממתק,להתממתק ,למתק להתמתק ,למתוק להמתיק 
תחבורה,לתחבר ,לחבר להתחבר ,לחבור להחביר 
מחטף,למחטף ,לחטף להתחטף ,לחטוף להחטיף 
מחטף,להתמחטף ,לחטף להתחטף ,לחטוף להחטיף 
מחסה,למחסה ,לחסה להתחסה ,לחסוה להחסיה 
מחסה,להתמחסה ,לחסה להתחסה ,לחסוה להחסיה 
ממשק,לממשק ,למשק להתמשק ,למשוק להמשיק 
ממשק,להתממשק ,למשק להתמשק ,למשוק להמשיק 
מנעול,למנעל ,לנעל להתנעל ,לנעול להנעיל 
מנעול,להתמנעל ,לנעל להתנעל ,לנעול להנעיל 
תשמיש,לתשמש ,לשמש להתשמש ,לשמוש להשמיש 
מקשה,למקשה ,לקשה להתקשה ,לקשוה להקשיה 
מקשה,להתמקשה ,לקשה להתקשה ,לקשוה להקשיה 
מפנה,למפנה ,לפנה להתפנה ,לפנוה להפניה 
מפנה,להתמפנה ,לפנה להתפנה ,לפנוה להפניה 
מקרר,למקרר ,לקרר להתקרר ,לקרור להקריר 
מקרר,להתמקרר ,לקרר להתקרר ,לקרור להקריר 
משחק,למשחק ,לשחק להתשחק ,לשחוק להשחיק 
משחק,להתמשחק ,לשחק להתשחק ,לשחוק להשחיק 
תצרוכת,לתצרכ ,לצרכ להתצרכ ,לצרוכ להצריכ 
מקצץ,למקצץ ,לקצץ להתקצץ ,לקצוץ להקציץ 
מקצץ,להתמקצץ ,לקצץ להתקצץ ,לקצוץ להקציץ 
תערובת,לתערב ,לערב להתערב ,לערוב להעריב 
תפנית,לתפנת ,לפנת להתפנת ,לפנות להפנית 
אזכור,להתאזכר ,לזכר להתזכר ,לזכור להזכיר 
מאמץ,למאמץ ,לאמץ להתאמץ ,לאמוץ להאמיץ 
מאמץ,להתמאמץ ,לאמץ להתאמץ ,לאמוץ להאמיץ 
מסמר,למסמר ,לסמר להתסמר ,לסמור להסמיר 
מסמר,להתמסמר ,לסמר להתסמר ,לסמור להסמיר 
שרטון,לשרטן ,לשרט להתשרט ,לשרוט להשריט 
שרטון,להתשרטן ,לשרט להתשרט ,לשרוט להשריט 
מסגד,למסגד ,לסגד להתסגד ,לסגוד להסגיד 
מסגד,להתמסגד ,לסגד להתסגד ,לסגוד להסגיד 
ארנק,לארנק ,לרנק להתרנק ,לרנוק להרניק 
ארנק,להתארנק ,לרנק להתרנק ,לרנוק להרניק 
מתכת,למתכת ,לתכת להתתכת ,לתכות להתכית 
מתכת,להתמתכת ,לתכת להתתכת ,לתכות להתכית 
תעריף,לתערף ,לערף להתערף ,לערוף להעריף 
מחזה,למחזה ,לחזה להתחזה ,לחזוה להחזיה 
מחזה,להתמחזה ,לחזה להתחזה ,לחזוה להחזיה 
ממכר,לממכר ,למכר להתמכר ,למכור להמכיר 
ממכר,להתממכר ,למכר להתמכר ,למכור להמכיר 
מעטפת,למעטפ ,לעטפ להתעטפ ,לעטופ להעטיפ 
מעטפת,להתמעטפ ,לעטפ להתעטפ ,לעטופ להעטיפ 
אבחון,להתאבחן ,לאבח להתאבח ,לאבוח להאביח 
אבחון,להתאבחן ,לבחן להתבחן ,לבחון להבחין 
משגר,למשגר ,לשגר להתשגר ,לשגור להשגיר 
משגר,להתמשגר ,לשגר להתשגר ,לשגור להשגיר 
מזלג,למזלג ,לזלג להתזלג ,לזלוג להזליג 
מזלג,להתמזלג ,לזלג להתזלג ,לזלוג להזליג 
פשרן,לפשרן ,לפשר להתפשר ,לפשור להפשיר 
פשרן,להתפשרן ,לפשר להתפשר ,לפשור להפשיר 
המנון,להמנן ,להמנ להתהמנ ,להמונ לההמינ 
המנון,להתהמנן ,להמנ להתהמנ ,להמונ לההמינ 
מרקט,למרקט ,לרקט להתרקט ,לרקוט להרקיט 
מרקט,להתמרקט ,לרקט להתרקט ,לרקוט להרקיט 
מגרש,למגרש ,לגרש להתגרש ,לגרוש להגריש 
מגרש,להתמגרש ,לגרש להתגרש ,לגרוש להגריש 
פחדן,לפחדן ,לפחד להתפחד ,לפחוד להפחיד 
פחדן,להתפחדן ,לפחד להתפחד ,לפחוד להפחיד 
מענה,למענה ,לענה להתענה ,לענוה להעניה 
מענה,להתמענה ,לענה להתענה ,לענוה להעניה 
סממן,לסממן ,לסממ להתסממ ,לסמומ להסמימ 
סממן,להתסממן ,לסממ להתסממ ,לסמומ להסמימ 
אלחוט,לאלחט ,ללחט להתלחט ,ללחוט להלחיט 
אלחוט,להתאלחט ,ללחט להתלחט ,ללחוט להלחיט 
מגפון,למגפן ,למגפ להתמגפ ,למגופ להמגיפ 
מגפון,להתמגפן ,למגפ להתמגפ ,למגופ להמגיפ 
מגפון,למגפן ,לגפן להתגפן ,לגפון להגפין 
מגפון,להתמגפן ,לגפן להתגפן ,לגפון להגפין 
מברשת,למברש ,לברש להתברש ,לברוש להבריש 
מברשת,להתמברש ,לברש להתברש ,לברוש להבריש 
מקבץ,למקבץ ,לקבץ להתקבץ ,לקבוץ להקביץ 
מקבץ,להתמקבץ ,לקבץ להתקבץ ,לקבוץ להקביץ 
אבהות,לאבהת ,לבהת להתבהת ,לבהות להבהית 
אבהות,להתאבהת ,לבהת להתבהת ,לבהות להבהית 
מדפסת,למדפס ,לדפס להתדפס ,לדפוס להדפיס 
מדפסת,להתמדפס ,לדפס להתדפס ,לדפוס להדפיס 
שרשרת,להשתרשר ,לרשר להתרשר ,לרשור להרשיר 
מפתה,למפתה ,לפתה להתפתה ,לפתוה להפתיה 
מפתה,להתמפתה ,לפתה להתפתה ,לפתוה להפתיה 
תעלומה,לתעלמ ,לעלמ להתעלמ ,לעלומ להעלימ 
ממזר,לממזר ,למזר להתמזר ,למזור להמזיר 
ממזר,להתממזר ,למזר להתמזר ,למזור להמזיר 
מכסה,למכסה ,לכסה להתכסה ,לכסוה להכסיה 
מכסה,להתמכסה ,לכסה להתכסה ,לכסוה להכסיה 
מזגן,למזגן ,למזג להתמזג ,למזוג להמזיג 
מזגן,להתמזגן ,למזג להתמזג ,למזוג להמזיג 
מזגן,למזגן ,לזגן להתזגן ,לזגון להזגין 
מזגן,להתמזגן ,לזגן להתזגן ,לזגון להזגין 
חדרון,לחדרן ,לחדר להתחדר ,לחדור להחדיר 
חדרון,להתחדרן ,לחדר להתחדר ,לחדור להחדיר 
תחזית,לתחזת ,לחזת להתחזת ,לחזות להחזית 
מצעד,למצעד ,לצעד להתצעד ,לצעוד להצעיד 
מצעד,להתמצעד ,לצעד להתצעד ,לצעוד להצעיד 
מחבר,למחבר ,לחבר להתחבר ,לחבור להחביר 
מחבר,להתמחבר ,לחבר להתחבר ,לחבור להחביר 
מעבה,למעבה ,לעבה להתעבה ,לעבוה להעביה 
מעבה,להתמעבה ,לעבה להתעבה ,לעבוה להעביה 
משלוח,למשלח ,לשלח להתשלח ,לשלוח להשליח 
משלוח,להתמשלח ,לשלח להתשלח ,לשלוח להשליח 
ממסר,לממסר ,למסר להתמסר ,למסור להמסיר 
ממסר,להתממסר ,למסר להתמסר ,למסור להמסיר 
ממסד,לממסד ,למסד להתמסד ,למסוד להמסיד 
ממסד,להתממסד ,למסד להתמסד ,למסוד להמסיד 
מפגן,למפגן ,למפג להתמפג ,למפוג להמפיג 
מפגן,להתמפגן ,למפג להתמפג ,למפוג להמפיג 
מפגן,למפגן ,לפגן להתפגן ,לפגון להפגין 
מפגן,להתמפגן ,לפגן להתפגן ,לפגון להפגין 
קפצון,לקפצן ,לקפצ להתקפצ ,לקפוצ להקפיצ 
קפצון,להתקפצן ,לקפצ להתקפצ ,לקפוצ להקפיצ 
בלגן,לבלגן ,לבלג להתבלג ,לבלוג להבליג 
בלגן,להתבלגן ,לבלג להתבלג ,לבלוג להבליג 
אשכר,לאשכר ,לשכר להתשכר ,לשכור להשכיר 
אשכר,להתאשכר ,לשכר להתשכר ,לשכור להשכיר 
מג"ד,למג"ד ,לג"ד להתג"ד ,לג"וד להג"יד 
מג"ד,להתמג"ד ,לג"ד להתג"ד ,לג"וד להג"יד 
אצטלה,לאצטל ,לצטל להתצטל ,לצטול להצטיל 
אצטלה,להתאצטל ,לצטל להתצטל ,לצטול להצטיל 
מקדש,למקדש ,לקדש להתקדש ,לקדוש להקדיש 
מקדש,להתמקדש ,לקדש להתקדש ,לקדוש להקדיש 
מסגר,להתמסגר ,לסגר להתסגר ,לסגור להסגיר 
משבת,למשבת ,לשבת להתשבת ,לשבות להשבית 
משבת,להתמשבת ,לשבת להתשבת ,לשבות להשבית 
מרדה,למרדה ,לרדה להתרדה ,לרדוה להרדיה 
מרדה,להתמרדה ,לרדה להתרדה ,לרדוה להרדיה 
תרמיל,לתרמל ,לרמל להתרמל ,לרמול להרמיל 
תכשיט,לתכשט ,לכשט להתכשט ,לכשוט להכשיט 
אבנט,לאבנט ,לבנט להתבנט ,לבנוט להבניט 
אבנט,להתאבנט ,לבנט להתבנט ,לבנוט להבניט 
משגב,למשגב ,לשגב להתשגב ,לשגוב להשגיב 
משגב,להתמשגב ,לשגב להתשגב ,לשגוב להשגיב 
מכתש,למכתש ,לכתש להתכתש ,לכתוש להכתיש 
מכתש,להתמכתש ,לכתש להתכתש ,לכתוש להכתיש 
שברון,לשברן ,לשבר להתשבר ,לשבור להשביר 
שברון,להתשברן ,לשבר להתשבר ,לשבור להשביר 
מח"ט,למח"ט ,לח"ט להתח"ט ,לח"וט להח"יט 
מח"ט,להתמח"ט ,לח"ט להתח"ט ,לח"וט להח"יט 
מתנה,למתנה ,לתנה להתתנה ,לתנוה להתניה 
מתנה,להתמתנה ,לתנה להתתנה ,לתנוה להתניה 
מקלחת,למקלח ,לקלח להתקלח ,לקלוח להקליח 
מקלחת,להתמקלח ,לקלח להתקלח ,לקלוח להקליח 
מסגור,להתמסגר ,לסגר להתסגר ,לסגור להסגיר 
מנצח,למנצח ,לנצח להתנצח ,לנצוח להנציח 
מנצח,להתמנצח ,לנצח להתנצח ,לנצוח להנציח 
מנהל,למנהל ,לנהל להתנהל ,לנהול להנהיל 
מנהל,להתמנהל ,לנהל להתנהל ,לנהול להנהיל 
תזכורת,לתזכר ,לזכר להתזכר ,לזכור להזכיר 
משגה,למשגה ,לשגה להתשגה ,לשגוה להשגיה 
משגה,להתמשגה ,לשגה להתשגה ,לשגוה להשגיה 
מקסם,למקסם ,לקסם להתקסם ,לקסום להקסים 
מקסם,להתמקסם ,לקסם להתקסם ,לקסום להקסים 
מתקן,למתקן ,למתק להתמתק ,למתוק להמתיק 
מתקן,להתמתקן ,למתק להתמתק ,למתוק להמתיק 
מתקן,למתקן ,לתקן להתתקן ,לתקון להתקין 
מתקן,להתמתקן ,לתקן להתתקן ,לתקון להתקין 
מרכז,להתמרכז ,לרכז להתרכז ,לרכוז להרכיז 
מדבר,למדבר ,לדבר להתדבר ,לדבור להדביר 
מדבר,להתמדבר ,לדבר להתדבר ,לדבור להדביר 
משלח,למשלח ,לשלח להתשלח ,לשלוח להשליח 
משלח,להתמשלח ,לשלח להתשלח ,לשלוח להשליח 
